name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
"СТУДИУМ, частная общеобразовательная школа с углубленным изучением иностранного языка",../../inostrannyie-yazyiki/studium-chastnaya-obscheobrazovatelnaya-shkola-s-uglublennyim-izucheniem-inostrannogo-yazyika/index.html,a420,moskovskij,"",51.6,"",7.2,Иностранные языки|Частная школа,../data/shkola-spb.ru/cache/inostrannyieyazyikistudiumchastnayaobscheobrazovatelnayashkolasuglublennyimizuchenieminostrannogoyazyikaindexhtml.htm,8123689474,www.studium-school.ru
"№ 374, школа (кадетский класс)",../../voennoe-uchilische/374-shkola-kadetskij-klass/index.html,a388,moskovskij,"",39.6,2.9,6.7,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilische374shkolakadetskijklassindexhtml.htm,8123884394|8123691716,www.sites.google.com/site/kadets374 
"САША, сад-лицей",../../nachalnaya-shkola/sasha-sad-litsej/index.html,a416,moskovskij,"","","",6.9,Начальная школа|Частная школа,../data/shkola-spb.ru/cache/nachalnayashkolasashasadlitsejindexhtml.htm,8123885184|8123880793,www.ls.spb.ru
"ТЕТ-А-ТЕТ, частная школа",../../sredneobrazovatelnaya-shkola/tet-a-tet-shkola/index.html,a419,moskovskij,"","","",6.8,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolatetatetshkolaindexhtml.htm,9119539165|9112416829,www.tet-a-tet-school.spb.ru
УЧИМСЯ ВМЕСТЕ,../../sredneobrazovatelnaya-shkola/uchimsya-vmeste/index.html,a421,moskovskij,"","","",6.7,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolauchimsyavmesteindexhtml.htm,8123730050|9112373453,uchimsia-vmeste.com
Кадетский ракетно-артиллерийский корпус (КРАК) [ЗАКРЫТА],../../voennoe-uchilische/kadetskij-raketno-artillerijskij-korpus/index.html,a766,moskovskij,"",51.8,"",9.0,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischekadetskijraketnoartillerijskijkorpusindexhtml.htm,8124508002|8123160531|8123164572,spbkk.edumil.ru
"№ 627, школа [ЗАКРЫТА]",../../deti-s-osobennostyami-razvitiya/627-shkola/index.html,a741,moskovskij,"",50.5,"",9.0,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya627shkolaindexhtml.htm,8123713616|8123736100,school627.do.am
"№ 637, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/637-shkola/index.html,a411,moskovskij,"",46.1,"",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola637shkolaindexhtml.htm,8127083096|8127083086,school637.ucoz.ru
"№ 670, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/670-shkola/index.html,a413,moskovskij,"",36.7,"",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola670shkolaindexhtml.htm,8123732561|8123730031,www.sch670spb.narod.ru
"ПРАЗДНИК+, культурологическая школа индивидуального развития полного среднего образования",../../sredneobrazovatelnaya-shkola/prazdnik-kulturologicheskaya-shkola-individualnogo-razvitiya-polnogo-srednego-obrazovaniya/index.html,a476,nevskij,"",55.5,4.0,6.7,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolaprazdnikkulturologicheskayashkolaindividualnogorazvitiyapolnogosrednegoobrazovaniyaindexhtml.htm,8124467272|8124472534,prazdnik.spb.ru
Лицей при СПбГУТ,../../drugoe/litsej-pri-spbgut/index.html,a786,nevskij,1,54.5,"",5.8,Другое,../data/shkola-spb.ru/cache/drugoelitsejprispbgutindexhtml.htm,8125895041,www.licbb.ru
"ШАНС, школа индивидуального обучения",../../sredneobrazovatelnaya-shkola/shans-shkola-individualnogo-obucheniya/index.html,a477,nevskij,"",52.2,"",8.2,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolashansshkolaindividualnogoobucheniyaindexhtml.htm,8125680335|8125601157,www.shkola-shance.ru
"№ 24, школа-интернат для детей-сирот",../../drugoe/24-shkola-internat-dlya-detej-sirot/index.html,a785,nevskij,"",48.0,"",0,Другое,../data/shkola-spb.ru/cache/drugoe24shkolainternatdlyadetejsirotindexhtml.htm,8184470161,2berega.spb.ru/org/115-701
"№ 592, школа",../../sredneobrazovatelnaya-shkola/592-shkola/index.html,a468,nevskij,"",45.4,"",3.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola592shkolaindexhtml.htm,8125848554,www.school592.ru
Православная общеобразовательная ГИМНАЗИЯ СВЯТОГО БЛАГОВЕРНОГО АЛЕКСАНДРА НЕВСКОГО,../../drugoe/pravoslavnaya-obscheobrazovatelnaya-gimnaziya-svyatogo-blagovernogo-aleksandra-nevskogo/index.html,a478,nevskij,"",45.4,"",0,Другое|Частная школа,../data/shkola-spb.ru/cache/drugoepravoslavnayaobscheobrazovatelnayagimnaziyasvyatogoblagovernogoaleksandranevskogoindexhtml.htm,8125867886|8129197860,alnevschool.ru
"Средняя общеобразовательная школа Института специальной педагогики и психологии им. Р. Валленберга ""Бобренок""",../../sredneobrazovatelnaya-shkola/43-srednyaya-obscheobrazovatelnaya-shkola-instituta-spetsialnoj-pedagogiki-i-psihologii-im-r-vallenberga/index.html,a497,petrogradskij,1,58.0,4.3,6.3,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola43srednyayaobscheobrazovatelnayashkolainstitutaspetsialnojpedagogikiipsihologiiimrvallenbergaindexhtml.htm,8122356405|8122351994,ps.wallenberg.ru
"ГЁТЕ-ШУЛЕ, немецкая школа",../../inostrannyie-yazyiki/gyote-shule-nemetskaya-shkola/index.html,a498,petrogradskij,2,56.8,3.8,8.5,Иностранные языки|Немецкий язык|Частная школа,../data/shkola-spb.ru/cache/inostrannyieyazyikigyoteshulenemetskayashkolaindexhtml.htm,8122328403,www.shkola-goethe.ru
"№ 224, школа ""Шамир""",../../drugoe/224-pervaya-evrejskaya-shkola/index.html,a499,petrogradskij,"",54.2,"",8.9,Другое|Частная школа,../data/shkola-spb.ru/cache/drugoe224pervayaevrejskayashkolaindexhtml.htm,8122338801|8122330334,school-shamir.ru
Нахимовское Военно-Морское училище,../../voennoe-uchilische/nahimovskoe-voenno-morskoe-uchilische/index.html,a737,petrogradskij,"",53.0,"",9.8,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischenahimovskoevoennomorskoeuchilischeindexhtml.htm,8122328694|8122334947,nvmu.info
