name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url,globalid,detector
"№ 370, cпециальная (коррекционная) школа",../../deti-s-osobennostyami-razvitiya/-370-shkola/index.html,a1111,moskovskij,"","",3.3,0.0,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya370shkolaindexhtml.htm,8123698101,school370.spb.ru,fc439c7abac953fd1ca62256891201ec,select_by_number
Кадетский ракетно-артиллерийский корпус (КРАК) [ЗАКРЫТА],../../voennoe-uchilische/kadetskij-raketno-artillerijskij-korpus/index.html,a766,moskovskij,"",51.8,"",9.0,Кадетские классы,../data/shkola-spb.ru/cache/voennoeuchilischekadetskijraketnoartillerijskijkorpusindexhtml.htm,8124508002|8123160531|8123164572,spbkk.edumil.ru,c51cf26285dd6cd36c57bf8bb54a56d6,not_detected
"№ 627, школа [ЗАКРЫТА]",../../deti-s-osobennostyami-razvitiya/627-shkola/index.html,a741,moskovskij,"",50.5,"",9.0,Дети с особенностями развития,../data/shkola-spb.ru/cache/detisosobennostyamirazvitiya627shkolaindexhtml.htm,8123713616|8123736100,school627.do.am,02f88be2deb5801fbeb137fd6a9e7638,not_detected
"№ 637, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/637-shkola/index.html,a411,moskovskij,"",46.1,"",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola637shkolaindexhtml.htm,8127083096|8127083086,school637.ucoz.ru,04420f7e47760e89e37db1ebd6c5e914,not_detected
"№ 670, школа [ЗАКРЫТА]",../../sredneobrazovatelnaya-shkola/670-shkola/index.html,a413,moskovskij,"",36.7,"",0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola670shkolaindexhtml.htm,8123732561|8123730031,www.sch670spb.narod.ru,614184d67486ab36019c30e4512bdd35,not_detected
"№ 344, физико-математический лицей",../../matematika/344-fiziko-matematicheskij-litsej/index.html,a447,nevskij,40,66.0,4.6,6.4,Математика|Физика,../data/shkola-spb.ru/cache/matematika344fizikomatematicheskijlitsejindexhtml.htm,8124461411|8125856057|8125855790,licey344.narod.ru,20b4cf4182d487c8223c0cafa85800c2,select_by_number
"№ 347, школа с углубленным изучением английского языка",../../anglijskij-yazyik/347-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a450,nevskij,2,62.8,4.0,6.3,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik347shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8125841204|8125845927,school347.ru,c57466646c8d4948bfa2e4bda8d1dcd7,select_by_number
"№ 329, лицей",../../sredneobrazovatelnaya-shkola/329-litsej/index.html,a433,nevskij,2,61.9,4.1,6.4,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola329litsejindexhtml.htm,8123653581|8123653520,school329.spb.ru,dcfd321037816e893867c8b7ffa980b3,select_exactly
"№ 639, школа с углубленным изучением иностранных языков",../../inostrannyie-yazyiki/639-shkola-s-uglublennyim-izucheniem-inostrannyih-yazyikov/index.html,a471,nevskij,8,61.3,4.1,6.4,Иностранные языки,../data/shkola-spb.ru/cache/inostrannyieyazyiki639shkolasuglublennyimizuchenieminostrannyihyazyikovindexhtml.htm,8124401705,www.school639.spb.ru,9a202ba5025e2567ffd5d374ce8c2f97,select_by_number
"№ 23, школа с углубленным изучением финского языка",../../drugie-yazyiki/23-shkola-s-uglublennyim-izucheniem-finskogo-yazyika/index.html,a425,nevskij,5,60.5,4.6,5.7,Другие языки|Иностранные языки,../data/shkola-spb.ru/cache/drugieyazyiki23shkolasuglublennyimizucheniemfinskogoyazyikaindexhtml.htm,8125874323|8125887910,spbschool23.umi.ru,da74438ea2acde8e630c8dd8396f2931,select_by_number
"№ 593, школа с углубленным изучением английского языка",../../anglijskij-yazyik/593-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a469,nevskij,1,60.5,4.1,5.2,Английский язык|Иностранные языки,../data/shkola-spb.ru/cache/anglijskijyazyik593shkolasuglublennyimizucheniemanglijskogoyazyikaindexhtml.htm,8125846936|8125890556,www.school593.ru,475ae7269a7b9960c35a41cd1ad46c3b,select_by_number
