name,href,id,area
"№ 457, школа с углубленным изучением английского языка",../../anglijskij-yazyik/457-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a111,vyiborgskij
"№ 114, гимназия",../../sredneobrazovatelnaya-shkola/114-gimnaziya/index.html,a101,vyiborgskij
"№ 107, гимназия",../../sredneobrazovatelnaya-shkola/107-gimnaziya/index.html,a97,vyiborgskij
"№ 558, школа с углубленным изучением математики",../../matematika/558-shkola-s-uglublennyim-izucheniem-matematiki/index.html,a126,vyiborgskij
"№ 103, школа с углубленным изучением математики",../../matematika/103-shkola-s-uglublennyim-izucheniem-matematiki-i-ekonomiki/index.html,a94,vyiborgskij
"№ 517, школа с углубленным изучением предметов экономического профиля",../../drugoe/517-shkola/index.html,a123,vyiborgskij
"№ 62, школа",../../sredneobrazovatelnaya-shkola/62-shkola/index.html,a81,vyiborgskij
"№ 124, школа с углубленным изучением английского языка",../../anglijskij-yazyik/124-shkola-s-uglublennyim-izucheniem-anglijskogo-yazyika/index.html,a107,vyiborgskij
"№ 584, коррекционная школа для детей с заболеваниями опорно-двигательного аппарата неврологического характера.",../../deti-s-osobennostyami-razvitiya/584-shkola-korrektsionnaya-dlya-detej-s-zabolevaniyami-oporno-dvigatelnogo-apparata-nevrologicheskogo-haraktera/index.html,a745,vyiborgskij
"№ 518, школа",../../sredneobrazovatelnaya-shkola/518-shkola/index.html,a124,vyiborgskij
"№ 65, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/65-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a82,vyiborgskij
"№ 102, школа",../../sredneobrazovatelnaya-shkola/102-shkola/index.html,a93,vyiborgskij
"№ 135, школа",../../inostrannyie-yazyiki/135-shkola/index.html,a109,vyiborgskij
"№ 486, лицей",../../sredneobrazovatelnaya-shkola/486-litsej/index.html,a120,vyiborgskij
"№ 463, школа",../../pravo/463-resursnyij-tsentr-po-grazhdansko-pravovomu-vospitaniyu/index.html,a112,vyiborgskij
"№ 468, школа",../../sredneobrazovatelnaya-shkola/468-shkola/index.html,a113,vyiborgskij
"№ 494, школа",../../sredneobrazovatelnaya-shkola/494-shkola/index.html,a122,vyiborgskij
"№ 33, школа-интернат для слабослышащих детей",../../deti-s-osobennostyami-razvitiya/33-shkola-internat/index.html,a744,vyiborgskij
"№ 120, школа",../../sredneobrazovatelnaya-shkola/120-shkola/index.html,a105,vyiborgskij
"№ 559, школа с углубленным изучением физики и математики",../../sredneobrazovatelnaya-shkola/559-shkola/index.html,a127,vyiborgskij
"№ 117, школа",../../sredneobrazovatelnaya-shkola/117-shkola/index.html,a103,vyiborgskij
"№ 483, школа с углубленным изучением информатики",../../informatika/483-shkola-s-uglublennyim-izucheniem-informatiki/index.html,a119,vyiborgskij
"№ 471, школа",../../sredneobrazovatelnaya-shkola/471-shkola/index.html,a115,vyiborgskij
"№ 76, школа",../../sredneobrazovatelnaya-shkola/76-shkola/index.html,a85,vyiborgskij
"№ 112, школа",../../sredneobrazovatelnaya-shkola/112-shkola/index.html,a100,vyiborgskij
"№ 90, школа",../../sredneobrazovatelnaya-shkola/90-shkola/index.html,a87,vyiborgskij
"№ 104, школа",../../sredneobrazovatelnaya-shkola/104-shkola/index.html,a95,vyiborgskij
"№ 453, школа",../../pravo/453-resursnyij-tsentr-po-etiko-pravovomu-obrazovaniyu/index.html,a110,vyiborgskij
"№ 60, школа",../../sredneobrazovatelnaya-shkola/60-shkola/index.html,a79,vyiborgskij
"№ 97, школа",../../sredneobrazovatelnaya-shkola/97-shkola/index.html,a90,vyiborgskij
"№ 123, школа",../../sredneobrazovatelnaya-shkola/123-shkola/index.html,a106,vyiborgskij
"№ 472, школа имени А. Т. Карпова",../../sredneobrazovatelnaya-shkola/472-shkola-imeni-a-t-karpova/index.html,a116,vyiborgskij
"№ 115, школа",../../sredneobrazovatelnaya-shkola/115-shkola/index.html,a102,vyiborgskij
"№ 560, школа",../../sredneobrazovatelnaya-shkola/560-shkola/index.html,a128,vyiborgskij
"№ 118, школа",../../sredneobrazovatelnaya-shkola/118-shkola/index.html,a104,vyiborgskij
"№ 110, школа",../../inostrannyie-yazyiki/110-shkola/index.html,a99,vyiborgskij
"№ 94, школа",../../informatika/94-shkola-s-uglublennyim-izucheniem-informatiki/index.html,a89,vyiborgskij
"№ 474, школа",../../sredneobrazovatelnaya-shkola/474-shkola/index.html,a117,vyiborgskij
"№ 475, школа",../../sredneobrazovatelnaya-shkola/475-shkola/index.html,a118,vyiborgskij
Санкт-Петербургский технический колледж управления и коммерции (ТКУиК),../../drugoe/sankt-peterburgskij-tehnicheskij-kolledzh-upravleniya-i-kommertsii-tkuik/index.html,a743,vyiborgskij
"№ 1, колледж олимпийского резерва",../../sportivnaya-shkola/-1-kolledzh-olimpijskogo-rezerva/index.html,a815,vyiborgskij
"№ 100, центр образования",../../sredneobrazovatelnaya-shkola/100-shkola/index.html,a91,vyiborgskij
"№ 469, школа",../../sredneobrazovatelnaya-shkola/469-shkola/index.html,a114,vyiborgskij
