name,href,id,area,city_olymp,ege,oge,folk_rating,specialisation,url_id,phones,url
"№ 578, школа",../../sredneobrazovatelnaya-shkola/578-shkola/index.html,a547,primorskij,5,50.8,3.5,7.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola578shkolaindexhtml.htm,8123067081|8123067078,myschool578.ucoz.ru
"№ 58, школа",../../sredneobrazovatelnaya-shkola/58-shkola/index.html,a535,primorskij,"",50.6,3.4,5.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola58shkolaindexhtml.htm,8123938686|8123934084,school58.myspbrf.ru
"№ 596, школа с углубленным изучением французского языка",../../frantsuzskij-yazyik/596-shkola-s-uglublennyim-izucheniem-frantsuzskogo-yazyika/index.html,a554,primorskij,2,49.3,3.5,4.6,Французский язык,../data/shkola-spb.ru/cache/frantsuzskijyazyik596shkolasuglublennyimizucheniemfrantsuzskogoyazyikaindexhtml.htm,8123416240|8123416274,www.school596.ru
"№ 438, школа",../../sredneobrazovatelnaya-shkola/438-shkola/index.html,a543,primorskij,"",48.2,3.3,9.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola438shkolaindexhtml.htm,8124349087|8124349706,438school.spb.ru
"№ 48, школа",../../sredneobrazovatelnaya-shkola/48-shkola/index.html,a530,primorskij,"",47.2,3.4,4.3,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola48shkolaindexhtml.htm,8123940020|8123947017,school-48.ru
"№ 357, школа-интернат «Олимпийские надежды»",../../sportivnaya-shkola/357-shkola-internat-olimpijskie-nadezhdyi/index.html,a542,primorskij,"",46.8,3.6,7.4,Спортивная школа,../data/shkola-spb.ru/cache/sportivnayashkola357shkolainternatolimpijskienadezhdyiindexhtml.htm,8123453367|8123455430,олимпийскиенадежды.рф
"№ 109, школа",../../sredneobrazovatelnaya-shkola/109-shkola/index.html,a538,primorskij,"",44.0,3.4,2.4,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola109shkolaindexhtml.htm,8124172432,sch-109.ucoz.ru
"№ 440, школа",../../sredneobrazovatelnaya-shkola/440-shkola/index.html,a544,primorskij,"",42.4,3.5,0,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola440shkolaindexhtml.htm,8124982518|8124982605,www.440school.spb.ru
"№ 697, центр образования",../../sredneobrazovatelnaya-shkola/697-tsentr-obrazovaniya/index.html,a761,primorskij,"",38.1,"",6.5,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola697tsentrobrazovaniyaindexhtml.htm,8123072080|8123076405,gouco-697.ucoz.ru
"№ 696, начальная школа - детский сад",../../nachalnaya-shkola/696-nachalnaya-shkola-detskij-sad/index.html,a571,primorskij,"","","",9.0,Начальная школа,../data/shkola-spb.ru/cache/nachalnayashkola696nachalnayashkoladetskijsadindexhtml.htm,8123953870,primgdou.ucoz.ru/publ/3-1-0-4
"ГРААЛЬ, частная школа",../../sredneobrazovatelnaya-shkola/graal-chastnaya-shkola/index.html,a574,primorskij,"","","",4.1,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolagraalchastnayashkolaindexhtml.htm,8123353778,grahl.narod.ru
"№ 682, начальная школа - детский сад",../../nachalnaya-shkola/-682-nachalnaya-shkola-detskij-sad/index.html,a1112,primorskij,"","","",8.2,Начальная школа,../data/shkola-spb.ru/cache/nachalnayashkola682nachalnayashkoladetskijsadindexhtml.htm,8123952997,rostok682.spb.ru
Школа им. А. М. Горчакова,../../sredneobrazovatelnaya-shkola/shkola-im-a-m-gorchakova/index.html,a602,pushkinskij,8,70.6,"",9.6,Частная школа,../data/shkola-spb.ru/cache/sredneobrazovatelnayashkolashkolaimamgorchakovaindexhtml.htm,8124651818|8124651199,www.gorchakov.spb.ru
"№ 530, школа с углубленным изучением предметов естественно-математического цикла",../../matematika/530-shkola-s-uglublennyim-izucheniem-predmetov-estestvenno-matematicheskogo-tsikla/index.html,a596,pushkinskij,4,61.9,"",6.0,Математика|Физика|Химия,../data/shkola-spb.ru/cache/matematika530shkolasuglublennyimizucheniempredmetovestestvennomatematicheskogotsiklaindexhtml.htm,8124705328,school530.ru
"№ 410, лицей",../../sredneobrazovatelnaya-shkola/410-shkola/index.html,a589,pushkinskij,3,61.7,"",7.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola410shkolaindexhtml.htm,8124655653|8124515826,school410.spb.ru
"№ 406, гимназия",../../sredneobrazovatelnaya-shkola/406-gimnaziya/index.html,a585,pushkinskij,6,60.4,"",6.9,"",../data/shkola-spb.ru/cache/sredneobrazovatelnayashkola406gimnaziyaindexhtml.htm,8124665853|8124665507,www.gymnasium406.ru
